"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","wp-btn","listing-card--owner-info__firm-name","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-konak-altintas-kiralik/daire/128275-690","41","30.000","04-12-2025","Kiralık Daire","3 +
                          1","110 m²","30
                        Yaşında","2. Kat","Üçyol Metro Dibi Full Tadilatlı Ferah Çift Cephe Daire Ara Kat Doğalgazlı","İzmir / Konak / Altıntaş Mah.","https://www.hepsiemlak.com/emlak-ofisi/relaks-35-gayrimenkul-128275/ersoy-cinkaya-3201495","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/9/4/1/0/2/3/c190ddd5-af75-4c68-87ab-03a82b1f5b6d.jpg","Whatsapp","Relaks 35 Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-buca-yaylacik-kiralik/daire/148947-85","34","25.000","16-11-2025","Kiralık Daire","4 +
                          1","180 m²","16
                        Yaşında","3. Kat","Yaylacık Mahallesinde Merkezi Konumda Dubleks Doğalgazlı Kiralık 4+1 Ferah Daire","İzmir / Buca / Yaylacık Mah.","https://www.hepsiemlak.com/emlak-ofisi/oncu-yapi-gayrimenkul-148947","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/4/9/8/4/1/2ba61b8a-3808-4494-981c-79d9dc7f264f.jpg","Whatsapp","Öncü Yapı Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-menderes-kasimpasa-kiralik/daire/68322-59","51","29.000","24-11-2025","Kiralık Daire","2 +
                          1","90 m²","1
                        Yaşında","3. Kat","Bal Gayrimenkul-Kasımpaşada Ebeveyn Banyolu Sıfır 2+1 Daire","İzmir / Menderes / Kasımpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/bal-gayrimenkul-68322","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/2/3/8/6/0/41435d4d-57e5-4e80-8340-b437d7fe8251.jpg","Whatsapp","Bal Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-balcova-onur-kiralik/daire/9163-995","35","25.000","20-11-2025","Kiralık Daire","2 +
                          1","90 m²","35
                        Yaşında","3. Kat","Balçova Agora Avm Yakını 2 Cepheli 2 Balkonlu Ara Kat 2+1 Daire","İzmir / Balçova / Onur Mah.","https://www.hepsiemlak.com/emlak-ofisi/ulusalofis-gayrimenkul-9163","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Ulusalofis Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-gaziemir-sevgi-kiralik/daire/18427-1199","29","40.000","17-10-2025","Kiralık Daire","3 +
                          1","118 m²","26
                        Yaşında","4. Kat","Gaziemir Sevgi Mah. Emlak Konut 2.Etap Boş Kiralık, 3+1 Daire.","İzmir / Gaziemir / Sevgi Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-urla-rustem-kiralik/daire/107888-3180","23","33.000","23-11-2025","Kiralık Daire","2 +
                          1","80 m²","7
                        Yaşında","Bahçe Katı","Gülbahçe Saygın Pazar Stüdyo Sitesinde Özel Bahçeli, Dubleks 2+1 – Full Eşyalı Kiralık","İzmir / Urla / Rüstem Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-atak-107888","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Coldwell Banker Atak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-zubeyde-hanim-kiralik/daire/125876-2847","35","40.000","28-11-2025","Kiralık Daire","3 +
                          1","125 m²","11
                        Yaşında","6. Kat","Karsiyaka Şemiklerde Esyali Kiralik Site İçi Daire Uğur Koleji","İzmir / Karşıyaka / Zübeyde Hanım Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-4-125876","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Kw Alesta-viya-orsa 4","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-refet-bele-kiralik/daire/84343-655","33","32.500","20-11-2025","Kiralık Daire","2 +
                          1","110 m²","1
                        Yaşında","3. Kat","Baş-Kaleden Eğitim Alışveriş Ve Sağlık Kurumlarına Yakın Kiralık","İzmir / Karabağlar / Refet Bele Mah.","https://www.hepsiemlak.com/emlak-ofisi/bas-kale-gayrimenkul-ve-yatirim-84343","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Baş-kale Gayrimenkul Ve Yatırım","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-konak-goztepe-kiralik/daire/78202-3407","46","26.000","24-11-2025","Kiralık Daire","Stüdyo","40 m²","31
                        Yaşında","Bahçe Katı","Güzelyalı Merkezde Mithatpaşa Caddesine 50 M. 1+0 Stüdyo Daire","İzmir / Konak / Göztepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-sembol-78202","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Remax Sembol","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-bornova-ergene-kiralik/daire/148398-234","33","40.000","30-10-2025","Kiralık Daire","2 +
                          1","90 m²","6
                        Yaşında","4. Kat","Bornova Da 2+1 Kiralık Lüks Daire","İzmir / Bornova / Ergene Mah.","https://www.hepsiemlak.com/emlak-ofisi/ayyildiz-gayrimenkul-148398","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Ayyıldız Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
